Country,Year,GDP per Capita ($),Population,Education Spending(%),Healthcare Spending($),Literacy(%),Life Expectancy,Fertility Rate,Infant Mortality Rate,Unemployment(%),Youth Unemployment(%)
Finland,2020,49170.0,5529543.0,10.24,4736.0,,82.0,1.37,1.9,7.76,21.2
Finland,2021,53505.0,5541017.0,10.23,5488.0,,82.0,1.46,1.9,7.61,17.05
Finland,2022,50735.0,5556106.0,0.0,0.0,,81.0,1.32,1.9,6.72,14.13
France,2019,40495.0,67388001.0,9.48,4504.0,,83.0,1.86,3.3,8.42,20.01
France,2020,39180.0,67571107.0,8.82,4755.0,,82.0,1.83,3.3,8.01,20.48
France,2021,43671.0,67764304.0,8.88,5381.0,,82.0,1.84,3.3,7.87,19.39
France,2022,40886.0,67971311.0,0.0,0.0,,82.0,1.794,3.3,7.31,17.95
French Polynesia,2019,20093.0,299717.0,,,,83.0,1.712,,11.54,36.54
French Polynesia,2020,19186.0,301920.0,,,,82.0,1.705,,12.88,41.16
French Polynesia,2021,20230.0,304032.0,,,,79.0,1.699,,12.49,38.98
French Polynesia,2022,18985.0,306279.0,,,,84.0,1.688,,11.91,37.79
Gabon,2019,7524.0,2242785.0,14.07,208.0,0.0,67.0,3.615,31.2,20.43,36.54
Gabon,2020,6680.0,2292573.0,15.76,228.0,0.0,67.0,3.548,29.9,21.27,39.07
Gabon,2021,8636.0,2341179.0,15.36,234.0,0.0,66.0,3.491,29.5,21.23,37.88
Gabon,2022,8820.0,2388992.0,13.8,0.0,85.69,66.0,3.46,28.8,20.5,36.76
Gambia,2019,723.0,2508883.0,14.1,23.0,0.0,64.0,4.869,35.4,4.53,7.78
Gambia,2020,704.0,2573995.0,14.28,26.0,0.0,63.0,4.777,34.5,5.86,9.9
Gambia,2021,763.0,2639916.0,15.62,25.0,0.0,62.0,4.684,33.7,6.21,10.18
Gambia,2022,804.0,2705992.0,14.48,0.0,58.67,63.0,4.586,32.8,6.08,10.05
Georgia,2019,4741.0,3720161.0,14.14,309.0,0.0,73.0,2.011,8.6,11.57,30.0
